name,consignment name,inspection name,consignment/generation_method,consignment/input_file/file_name,consignment/parameter_based/boxes/min,consignment/parameter_based/boxes/max,consignment/items_per_box/default,contamination/contamination_unit,contamination/contamination_rate/distribution,contamination/contamination_rate/parameters,contamination/arrangement,contamination/clustered/distribution,contamination/clustered/contaminated_units_per_cluster,contamination/clustered/random/cluster_item_width,inspection/unit,inspection/sample_strategy,inspection/hypergeometric/detection_level,inspection/selection_strategy,inspection/within_box_proportion
consignment scenario 1,Air,box hypergeometric 0.1,parameter_based,,20,100,200,item,beta,"[0.0091, 3.3769]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 2,Maritime,box hypergeometric 0.1,parameter_based,,100,160,700,item,beta,"[0.0091, 3.3769]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 3,Direct-to-consumer,box hypergeometric 0.1,parameter_based,,1,50,100,item,beta,"[0.0091, 3.3769]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 4,Low,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0727, 26.8544]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 5,Mid,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0081, 2.9838]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 6,High,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0029, 1.0742]",clustered,random,40,40,boxes,hypergeometric,0.1,random,1
consignment scenario 7,Low,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,box,beta,"[0.0727, 26.8544]",random,,,,boxes,hypergeometric,0.1,random,1
consignment scenario 8,Mid,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,box,beta,"[0.0081, 2.9838]",random,,,,boxes,hypergeometric,0.1,random,1
consignment scenario 9,High,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,box,beta,"[0.0029, 1.0742]",random,,,,boxes,hypergeometric,0.1,random,1
consignment scenario 10,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,25,25,boxes,hypergeometric,0.1,random,1
consignment scenario 11,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,50,50,boxes,hypergeometric,0.1,random,1
consignment scenario 12,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,75,75,boxes,hypergeometric,0.1,random,1
consignment scenario 13,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,100,100,boxes,hypergeometric,0.1,random,1
consignment scenario 14,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,125,125,boxes,hypergeometric,0.1,random,1
consignment scenario 15,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,150,150,boxes,hypergeometric,0.1,random,1
consignment scenario 16,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,175,175,boxes,hypergeometric,0.1,random,1
consignment scenario 17,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,200,200,boxes,hypergeometric,0.1,random,1
consignment scenario 18,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,225,225,boxes,hypergeometric,0.1,random,1
consignment scenario 19,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,250,250,boxes,hypergeometric,0.1,random,1
consignment scenario 20,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,275,275,boxes,hypergeometric,0.1,random,1
consignment scenario 21,Continuous clusters,box hypergeometric 0.1,input_file,aqim_box_insp_unit.csv,,,200,item,beta,"[0.0091, 3.3769]",clustered,continuous,300,300,boxes,hypergeometric,0.1,random,1
